             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
      15714056_293 sc-loprio collect_ siddhart  R       0:25      1 miso5
      15714056_294 sc-loprio collect_ siddhart  R       0:25      1 miso5
      15714056_295 sc-loprio collect_ siddhart  R       0:25      1 miso5
      15714056_296 sc-loprio collect_ siddhart  R       0:25      1 miso5
      15714056_297 sc-loprio collect_ siddhart  R       0:25      1 miso5
      15714056_298 sc-loprio collect_ siddhart  R       0:25      1 miso5
      15714056_299 sc-loprio collect_ siddhart  R       0:25      1 miso5
      15714056_300 sc-loprio collect_ siddhart  R       0:25      1 miso5
        15714056_0 sc-loprio collect_ siddhart  R       6:20      1 jagupard35
        15714056_1 sc-loprio collect_ siddhart  R       6:20      1 jagupard36
        15714056_2 sc-loprio collect_ siddhart  R       6:20      1 jagupard36
        15714056_3 sc-loprio collect_ siddhart  R       6:20      1 tiger-hgx-1
        15714056_4 sc-loprio collect_ siddhart  R       6:20      1 tiger-hgx-1
        15714056_5 sc-loprio collect_ siddhart  R       6:20      1 tiger-hgx-1
        15714056_6 sc-loprio collect_ siddhart  R       6:20      1 tiger-hgx-1
        15714056_7 sc-loprio collect_ siddhart  R       6:20      1 tiger-hgx-1
        15714056_8 sc-loprio collect_ siddhart  R       6:20      1 tiger-hgx-1
       15714056_13 sc-loprio collect_ siddhart  R       6:20      1 iliad-hgx-1
       15714056_14 sc-loprio collect_ siddhart  R       6:20      1 iliad-hgx-1
       15714056_15 sc-loprio collect_ siddhart  R       6:20      1 iliad-hgx-1
       15714056_16 sc-loprio collect_ siddhart  R       6:20      1 iliad-hgx-1
       15714056_17 sc-loprio collect_ siddhart  R       6:20      1 iliad-hgx-1
       15714056_18 sc-loprio collect_ siddhart  R       6:20      1 iliad-hgx-1
       15714056_19 sc-loprio collect_ siddhart  R       6:20      1 iliad-hgx-1
       15714056_20 sc-loprio collect_ siddhart  R       6:20      1 iliad-hgx-1
       15714056_21 sc-loprio collect_ siddhart  R       6:20      1 iliad-hgx-1
       15714056_22 sc-loprio collect_ siddhart  R       6:20      1 iliad-hgx-1
       15714056_23 sc-loprio collect_ siddhart  R       6:20      1 iliad-hgx-1
       15714056_24 sc-loprio collect_ siddhart  R       6:20      1 cocoflops2
       15714056_25 sc-loprio collect_ siddhart  R       6:20      1 cocoflops1
       15714056_27 sc-loprio collect_ siddhart  R       6:20      1 cocoflops-hgx-1
       15714056_28 sc-loprio collect_ siddhart  R       6:20      1 cocoflops-hgx-1
       15714056_29 sc-loprio collect_ siddhart  R       6:20      1 iliad2
       15714056_30 sc-loprio collect_ siddhart  R       6:20      1 iliad3
       15714056_31 sc-loprio collect_ siddhart  R       6:20      1 iliad4
       15714056_32 sc-loprio collect_ siddhart  R       6:20      1 iliad6
       15714056_37 sc-loprio collect_ siddhart  R       6:20      1 iliad5
       15714056_38 sc-loprio collect_ siddhart  R       6:20      1 iliad5
       15714056_39 sc-loprio collect_ siddhart  R       6:20      1 iliad5
       15714056_40 sc-loprio collect_ siddhart  R       6:20      1 tiger2
       15714056_41 sc-loprio collect_ siddhart  R       6:20      1 tiger3
       15714056_42 sc-loprio collect_ siddhart  R       6:20      1 tiger7
       15714056_43 sc-loprio collect_ siddhart  R       6:20      1 tiger7
       15714056_44 sc-loprio collect_ siddhart  R       6:20      1 tiger7
       15714056_45 sc-loprio collect_ siddhart  R       6:20      1 tiger8
       15714056_46 sc-loprio collect_ siddhart  R       6:20      1 tiger8
       15714056_47 sc-loprio collect_ siddhart  R       6:20      1 tiger4
       15714056_48 sc-loprio collect_ siddhart  R       6:20      1 tiger5
       15714056_49 sc-loprio collect_ siddhart  R       6:20      1 tiger6
       15714056_50 sc-loprio collect_ siddhart  R       6:20      1 tiger6
       15714056_51 sc-loprio collect_ siddhart  R       6:20      1 tiger6
       15714056_52 sc-loprio collect_ siddhart  R       6:20      1 pasteur1
       15714056_53 sc-loprio collect_ siddhart  R       6:20      1 pasteur1
       15714056_54 sc-loprio collect_ siddhart  R       6:20      1 pasteur1
       15714056_55 sc-loprio collect_ siddhart  R       6:20      1 pasteur-hgx-1
       15714056_56 sc-loprio collect_ siddhart  R       6:20      1 pasteur-hgx-1
       15714056_57 sc-loprio collect_ siddhart  R       6:20      1 pasteur-hgx-1
       15714056_58 sc-loprio collect_ siddhart  R       6:20      1 pasteur-hgx-1
       15714056_59 sc-loprio collect_ siddhart  R       6:20      1 pasteur-hgx-1
       15714056_60 sc-loprio collect_ siddhart  R       6:20      1 pasteur-hgx-1
       15714056_61 sc-loprio collect_ siddhart  R       6:20      1 pasteur-hgx-1
       15714056_62 sc-loprio collect_ siddhart  R       6:20      1 pasteur-hgx-1
       15714056_63 sc-loprio collect_ siddhart  R       6:20      1 pasteur-hgx-1
       15714056_68 sc-loprio collect_ siddhart  R       6:20      1 pasteur2
       15714056_69 sc-loprio collect_ siddhart  R       6:20      1 pasteur2
       15714056_70 sc-loprio collect_ siddhart  R       6:20      1 pasteur2
       15714056_71 sc-loprio collect_ siddhart  R       6:20      1 pasteur3
       15714056_72 sc-loprio collect_ siddhart  R       6:20      1 pasteur3
       15714056_73 sc-loprio collect_ siddhart  R       6:20      1 pasteur3
       15714056_74 sc-loprio collect_ siddhart  R       6:20      1 pasteur4
       15714056_75 sc-loprio collect_ siddhart  R       6:20      1 pasteur4
       15714056_76 sc-loprio collect_ siddhart  R       6:20      1 pasteur4
       15714056_81 sc-loprio collect_ siddhart  R       6:20      1 tiger1
       15714056_82 sc-loprio collect_ siddhart  R       6:20      1 miso2
       15714056_83 sc-loprio collect_ siddhart  R       6:20      1 miso2
       15714056_84 sc-loprio collect_ siddhart  R       6:20      1 miso2
       15714056_85 sc-loprio collect_ siddhart  R       6:20      1 miso2
       15714056_86 sc-loprio collect_ siddhart  R       6:20      1 miso2
       15714056_87 sc-loprio collect_ siddhart  R       6:20      1 miso2
       15714056_88 sc-loprio collect_ siddhart  R       6:20      1 miso2
       15714056_89 sc-loprio collect_ siddhart  R       6:20      1 miso2
       15714056_90 sc-loprio collect_ siddhart  R       6:20      1 miso2
       15714056_91 sc-loprio collect_ siddhart  R       6:20      1 miso2
       15714056_92 sc-loprio collect_ siddhart  R       6:20      1 miso2
       15714056_93 sc-loprio collect_ siddhart  R       6:20      1 miso2
       15714056_94 sc-loprio collect_ siddhart  R       6:20      1 miso2
       15714056_95 sc-loprio collect_ siddhart  R       6:20      1 miso2
       15714056_96 sc-loprio collect_ siddhart  R       6:20      1 miso2
       15714056_97 sc-loprio collect_ siddhart  R       6:20      1 miso2
       15714056_98 sc-loprio collect_ siddhart  R       6:20      1 miso1
       15714056_99 sc-loprio collect_ siddhart  R       6:20      1 miso1
      15714056_100 sc-loprio collect_ siddhart  R       6:20      1 miso1
      15714056_101 sc-loprio collect_ siddhart  R       6:20      1 miso1
      15714056_102 sc-loprio collect_ siddhart  R       6:20      1 miso1
      15714056_103 sc-loprio collect_ siddhart  R       6:20      1 miso1
      15714056_104 sc-loprio collect_ siddhart  R       6:20      1 miso1
      15714056_105 sc-loprio collect_ siddhart  R       6:20      1 miso1
      15714056_106 sc-loprio collect_ siddhart  R       6:20      1 miso1
      15714056_107 sc-loprio collect_ siddhart  R       6:20      1 miso1
