rank,path,run_id,num_transitions,return_sum,return_discounted,terminal_reward,reward_mean,E_fusion_total_MJ,H98_flattop_avg,H98_max,P_fusion_max_MW,P_ohmic_max_MW,Q_flattop_avg,Q_max,Q_max_time,T_e_core_max_keV,T_i_core_max_keV,beta_N_max,f_GW_max,flux_consumed_Wb,l_i_flattop_avg,n_e_line_avg_max,q0_min,q95_min,vloop_tx_flattop_avg_V
131,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0236.json,236,21,11.528100551457243,10.223464337760904,2.2242984488240287,0.5489571691170115,75998.26578184403,0.6874412190877595,0.7291277043890287,208.14943645933835,7.430392682976628,3.898552155291263,4.246579871576678,388.95068728395074,12.465755978966936,10.77324983906015,1.2034905072403923,0.9830969318517667,139.31930248998322,0.7623994843955835,1.1334796811673816e+20,0.7465383969705548,2.830679310290726,0.15612403652060994
132,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0438.json,438,21,11.515364683259953,10.251872323051018,2.6039204076501754,0.548350699202855,77527.22388539968,0.6866380106597939,0.7609640647545924,209.20040783484157,7.43039457605518,3.867670305835571,4.194050162389561,390.2469935802471,12.620556488906876,10.785277613957263,1.2056819573791124,0.9819876799333503,139.11934159054806,0.7636321135733978,1.1364745016386555e+20,0.6318483721275223,2.8773163683204968,0.15492312495074123
133,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0151.json,151,21,11.511654876707057,10.241634850860041,2.4066033644715477,0.5481740417479551,76824.6196167955,0.6877487571018058,0.7586038314841183,207.1609016255547,7.430391828565097,3.907991741836761,4.20301527313446,420.3087319753088,12.710774361041258,10.790638975546338,1.2013091970633585,0.9820459311629092,139.6689594700584,0.7629069948509454,1.1326773146262394e+20,0.6349149589140363,2.8803541933965393,0.15542033911186137
134,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0242.json,242,21,11.481675961104834,10.240858313878686,2.4539689711229684,0.5467464743383255,78099.27522483307,0.6876123273093588,0.7609306911438914,213.34391539485154,7.430393625599917,3.883205926446994,4.237432980854707,410.3087119753088,12.66389997700763,10.86633508598362,1.215605235828932,0.984703356452922,138.46026663647825,0.7650539164997001,1.1377209212743308e+20,0.6303418983818357,2.8790896768991123,0.1538501689428746
135,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0419.json,419,21,11.479828098976755,10.201849843976529,2.2704284735263425,0.546658480903655,76794.11751085347,0.6892951630533055,0.7498932731810448,207.01500059318374,7.430395526545763,3.9588223511168117,4.516887850084693,339.69140802469155,12.368795898595103,10.746749204058887,1.1991742192797492,0.9834007019166946,138.99198196818406,0.7642148177892754,1.1375401355906435e+20,0.7963795742776683,2.855894301187024,0.15461998146438397
136,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0084.json,84,21,11.470852428191295,10.220250687025302,2.5533899598939307,0.5462310680091093,77166.97990352561,0.6857687835059172,0.7580760792279945,211.20324675903942,7.43039372263027,3.8252543843732405,4.139151333286576,270.2469535802472,12.677777418664634,10.80692037394151,1.2111920442005641,0.9818749670207492,139.11435106068674,0.763227757349116,1.1375226584901924e+20,0.6325565261324454,2.877294942734223,0.15506038127572552
137,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0224.json,224,21,11.463055749171499,10.20441142669596,2.6012583382116214,0.5458597975795951,77714.48823835936,0.6860353973930294,0.7596754838694473,210.96376202053082,7.430392929036186,3.837291341982041,4.063745931855751,430.246993580247,12.668038521720266,10.801569968127904,1.2104360246323385,0.9830430395487935,139.15210269020344,0.7641235209127647,1.1379971854774323e+20,0.6318497260194571,2.877371429664806,0.15427525029622677
138,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0326.json,326,21,11.443805027124602,10.18790425645064,2.635068004837299,0.5449430965297429,78204.10571611369,0.6895924974337583,0.7517726826995874,215.54190212825802,7.430391100333593,3.921774262785276,4.415982768066307,360.1852351851853,12.733092885663677,10.965211893857719,1.222191854767038,0.9881856877307723,137.75973062386285,0.7682938095137403,1.1434805253083854e+20,0.6334350557232777,2.8747662966035548,0.15237151028980356
139,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0114.json,114,21,11.440798998648452,10.158388165462107,2.6479044064397983,0.544799952316593,78067.83353807493,0.6868812956265151,0.7587158614522918,211.17638630603665,7.430390496275375,3.868842859244488,4.2704875245747,440.12354679012356,12.635947478541375,10.781576256492336,1.2121565235821665,0.9846186063935173,138.90199306458646,0.7647248846378223,1.1383617544677573e+20,0.6327286512728721,2.8730521399316062,0.15397552410038648
140,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0290.json,290,21,11.429130864109675,10.17309416205633,2.580412211180981,0.5442443268623655,77298.3239563952,0.6865068240511812,0.7574706094807967,206.94831340277503,7.4303917948946205,3.8593402484673427,4.176648401190261,285.3086919753089,12.671439160168594,10.798756807927905,1.2034005646730472,0.9827349324356712,139.22464694289698,0.7633158006038463,1.1354258542172494e+20,0.6349214132389235,2.8800772493667006,0.1550814234087509
141,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0194.json,194,21,11.412706764449123,10.106280765562222,2.6078245123578974,0.5434622268785296,76538.32134332857,0.6868863790157006,0.742412322641893,209.23246131303145,7.4303952592161275,3.8751632356606502,4.197490703841998,360.5556255555557,12.526678372483078,10.81123035111053,1.206422199981817,0.9834737708753355,140.75871838338227,0.7632266217455338,1.1348342455841604e+20,0.6398858609855828,2.889819631261906,0.15476297513441153
142,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0030.json,30,21,11.412677567538461,10.16328614621412,2.4881842091436184,0.5434608365494505,77364.40187933126,0.6873401658520966,0.7608332898110022,210.0425376202546,7.43039298883898,3.8936968348864665,4.380699734413584,420.18527518518533,12.640653492105168,10.772902971217585,1.2073489469173244,0.982233961931081,139.4090212306834,0.7636050547515282,1.1362371263553695e+20,0.6294844694844752,2.8753817767879912,0.1549586719338018
143,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0157.json,157,21,11.407593980356623,10.17437092238033,2.486253133558346,0.543218760969363,77798.43536563186,0.6888975769205783,0.7576190633094572,212.07035351402052,7.430392368985477,3.9012944552860453,4.373551291130914,400.06178839506185,12.670167971593791,10.899780568011527,1.2141291934783813,0.9878279864230697,137.81855242279406,0.767141070897328,1.1418399436696954e+20,0.6253924834140416,2.8685758371143026,0.1530439660000127
